Etiquetas de fila,3,4,5,7,8,9,10,12,14,15,16,19,21,22,24,27,35,37,40,44,45,46,57,74,83,100,101,103,104,105,119,121,137,155,249,Total general,CONTEO5MAS,ACCIDE5MAS
154,,,,4,,6,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,13,0,0
155,,,,1,,4,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,8,0,0
156,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,3,0,0
157,,,,,,6,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,9,0,0
158,,,,2,,7,,,,,,,,,,,,,,1,1,1,,,,,,1,,,,,,,,13,0,0
159,,,1,2,,9,,8,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,23,0,0
160,1,,,2,,5,,1,,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,12,1,1
161,,,,3,1,4,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,10,0,0
162,2,,,1,,4,,2,,,,,,,,1,,,,4,1,1,,,,,,1,,,,,,,,17,2,1
163,,,,1,,5,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,8,0,0
164,1,,,1,,4,,2,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,10,1,1
165,,,,1,,4,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,7,0,0
166,,,,2,,4,,2,1,,,,,,,,,,,1,,1,,,,,,1,,,,,,,,12,0,0
167,,2,,2,,8,,,,,,,,,,2,,,,3,1,,,,,,,1,,,,,,,,19,0,0
